mass,width,unc_gev
100,0.0,0.0
110,0.0003277,3.9e-08
120,0.0007956,1e-07
130,0.001396,1.3e-07
140,0.002121,2.6e-07
150,0.00297,2.9e-07
160,0.003942,3.4e-07
180,0.006267,4.3e-07
200,0.009133,6.3e-07
220,0.01261,8.7e-07
240,0.01676,1.2e-06
250,0.01911,1.3e-06
260,0.02165,1.5e-06
280,0.02733,1.9e-06
300,0.03386,2.3e-06
320,0.04132,2.9e-06
340,0.04976,3.4e-06
360,0.05925,4.1e-06
380,0.06985,4.8e-06
400,0.08161,5.7e-06
450,0.1165,8.1e-06
500,0.1601,1.1e-05
550,0.2133,1.5e-05
600,0.2772,1.9e-05
700,0.4404,3e-05
800,0.6577,4.6e-05
900,0.9366,6.5e-05
1000,1.285,8.9e-05
1100,1.71,0.00012
1200,2.22,0.00015
1300,2.823,0.0002
1400,3.526,0.00024
1500,4.337,0.0003
1600,5.264,0.00036
1700,6.314,0.00044
1800,7.495,0.00052
