mass,width,unc_gev
100,0.0,0.0
110,0.0,0.0
120,0.0,0.0
130,1.38e-09,1.6e-14
140,1.245e-08,1.5e-13
150,3.476e-08,2.5e-12
160,6.861e-08,5.5e-12
180,1.725e-07,2e-12
200,3.278e-07,3.9e-12
220,5.387e-07,4e-11
240,8.1e-07,9.5e-12
250,9.697e-07,1.1e-11
260,1.146e-06,8.6e-11
280,1.553e-06,1.8e-11
300,2.034e-06,2.4e-11
320,2.596e-06,2e-10
340,3.243e-06,2.5e-10
360,3.981e-06,4.7e-11
380,4.815e-06,5.7e-11
400,5.749e-06,6.8e-11
450,8.562e-06,1e-10
500,1.212e-05,1.4e-10
550,1.651e-05,1.2e-09
600,2.181e-05,2.6e-10
700,3.547e-05,4.2e-10
800,5.376e-05,6.3e-10
900,7.736e-05,6.1e-09
1000,0.0001069,8.1e-09
1100,0.0001431,1.1e-08
1200,0.0001865,1.4e-08
1300,0.0002379,2.8e-09
1400,0.0002979,2.2e-08
1500,0.0003672,3e-08
1600,0.0004464,3.5e-08
1700,0.0005362,4e-08
1800,0.0006372,7.5e-09
