mass,width,unc_gev
100,1.378e-08,1.4e-12
110,3.119e-08,3.6e-12
120,5.329e-08,5.2e-12
130,7.993e-08,9.5e-12
140,1.112e-07,1.1e-11
150,1.472e-07,1.3e-11
160,1.883e-07,1.3e-11
180,2.854e-07,2e-11
200,4.058e-07,2.8e-11
220,5.521e-07,3.8e-11
240,7.269e-07,5e-11
250,8.258e-07,5.7e-11
260,9.328e-07,6.5e-11
280,1.172e-06,8.1e-11
300,1.449e-06,1e-10
320,1.764e-06,1.2e-10
340,2.121e-06,1.5e-10
360,2.522e-06,1.7e-10
380,2.97e-06,2.1e-10
400,3.467e-06,2.4e-10
450,4.946e-06,3.4e-10
500,6.791e-06,4.7e-10
550,9.044e-06,6.3e-10
600,1.175e-05,8.1e-10
700,1.866e-05,1.3e-09
800,2.786e-05,1.9e-09
900,3.967e-05,2.7e-09
1000,5.442e-05,3.8e-09
1100,7.244e-05,5e-09
1200,9.405e-05,6.5e-09
1300,0.0001196,8.3e-09
1400,0.0001493,1e-08
1500,0.0001837,1.3e-08
1600,0.0002229,1.5e-08
1700,0.0002674,1.9e-08
1800,0.0003174,2.2e-08
