mass,width,unc_gev
100,9.845e-05,1.2e-08
110,0.0004027,6.4e-08
120,0.000866,1.1e-07
130,0.001465,5.2e-08
140,0.00219,2.5e-07
150,0.003038,1.1e-07
160,0.004012,6.1e-07
180,0.006352,2.1e-07
200,0.009256,1.2e-06
220,0.01278,2e-06
240,0.01699,2.1e-06
250,0.01937,2.5e-06
260,0.02194,8.3e-07
280,0.0277,1e-06
300,0.03432,5.7e-06
320,0.04188,6.4e-06
340,0.05044,1.6e-06
360,0.06005,7.8e-06
380,0.07079,7.4e-07
400,0.08271,7.5e-06
450,0.1181,4.2e-06
500,0.1623,2.1e-05
550,0.2162,2.3e-06
600,0.2809,1.1e-05
700,0.4464,1.7e-05
800,0.6665,7e-05
900,0.9492,3.1e-05
1000,1.302,4.7e-05
1100,1.733,0.00022
1200,2.25,0.00025
1300,2.861,0.00035
1400,3.574,0.00037
1500,4.396,0.00064
1600,5.335,5.6e-05
1700,6.399,6.6e-05
1800,7.596,0.00095
