mass,width,unc_gev
100,0.0,0.0
110,0.0,0.0
120,0.0,0.0
130,0.0,0.0
140,4.418e-09,5.3e-13
150,1.564e-08,1.8e-12
160,3.249e-08,3.6e-12
180,8.423e-08,8.3e-12
200,1.617e-07,1.1e-11
220,2.658e-07,1.8e-11
240,3.996e-07,2.8e-11
250,4.784e-07,3.3e-11
260,5.655e-07,3.9e-11
280,7.66e-07,5.3e-11
300,1.004e-06,6.9e-11
320,1.281e-06,8.9e-11
340,1.6e-06,1.1e-10
360,1.964e-06,1.4e-10
380,2.375e-06,1.6e-10
400,2.836e-06,2e-10
450,4.224e-06,2.9e-10
500,5.98e-06,4.1e-10
550,8.144e-06,5.6e-10
600,1.076e-05,7.4e-10
700,1.75e-05,1.2e-09
800,2.652e-05,1.8e-09
900,3.816e-05,2.6e-09
1000,5.274e-05,3.7e-09
1100,7.059e-05,4.9e-09
1200,9.203e-05,6.4e-09
1300,0.0001174,8.1e-09
1400,0.000147,1e-08
1500,0.0001812,1.3e-08
1600,0.0002202,1.5e-08
1700,0.0002645,1.8e-08
1800,0.0003144,2.2e-08
