mass,width,unc_gev
100,0.0007798,1e-07
110,0.001595,6.2e-08
120,0.002637,2.8e-08
130,0.003896,3.8e-08
140,0.005373,5.4e-07
150,0.007076,8.9e-07
160,0.009016,3.1e-07
180,0.01366,4.7e-07
200,0.01942,2.5e-06
220,0.02642,2.8e-07
240,0.03479,1.3e-06
250,0.03952,3.5e-06
260,0.04464,1.7e-06
280,0.05611,5.9e-07
300,0.06933,2.6e-06
320,0.08441,3.1e-06
340,0.1015,4.1e-06
360,0.1207,1.3e-06
380,0.1421,1.8e-05
400,0.1659,6.2e-06
450,0.2367,8.8e-06
500,0.325,1.2e-05
550,0.4328,5.2e-05
600,0.5621,2.1e-05
700,0.8931,0.00011
800,1.333,4.7e-05
900,1.899,0.00023
1000,2.605,0.0003
1100,3.467,0.00035
1200,4.501,0.0004
1300,5.723,5.9e-05
1400,7.148,0.00026
1500,8.792,0.00031
1600,10.67,0.00011
1700,12.8,0.00052
1800,15.19,0.00057
